,food,drop
1,pizza,0
2,crust,0
3,sausage,0
4,sauce,0
5,cheese,0
6,ounce,1
7,sliced,1
8,package,1
9,pepperoni,0
10,inch,1
11,cup,1
12,heat,1
13,skillet,1
14,squares,1
15,minutes,1
16,cups,1
17,mixture,1
18,chicken,0
19,cut,1
20,bake,1
21,salt,0
22,combine,1
23,teaspoon,1
24,stirring,1
25,bring,1
26,add,1
27,simmer,1
28,oil,0
29,reduce,1
30,low,1
31,pepper,0
32,occasionally,1
33,shredded,1
34,sugar,0
35,arrange,1
36,top,1
37,italian,0
38,meanwhile,1
39,favorite,0
40,tablespoons,1
41,served,1
42,bowl,1
43,mozzarella,0
44,jar,1
45,large,0
46,according,1
47,directions,1
48,chopped,1
49,cheesy,0
50,style,1
51,butter,0
52,three,1
53,prebaked,1
54,johnsonville®,1
55,water,0
56,stir,1
57,cook,1
58,oven,1
59,baking,1
60,place,1
61,fresh,0
62,cream,0
63,pan,1
64,garlic,0
65,flour,0
66,ground,1
67,tablespoon,1
68,medium,1
69,onion,0
70,degrees,1
71,mix,1
72,juice,0
73,serve,1
74,in,1
75,cover,1
76,small,1
77,remove,1
78,brown,1
79,olive,0
80,milk,0
81,lemon,0
82,x,1
83,white,1
84,remaining,1
85,egg,0
86,cool,1
87,taste,1
88,pour,1
89,black,1
90,teaspoons,1
91,powder,0
92,eggs,0
93,preheat,1
94,dish,1
95,g,1
96,boil,1
97,hot,1
98,f,1
99,dough,0
100,red,1
101,i,1
102,set,1
103,this,1
104,chocolate,0
105,transfer,1
106,vanilla,0
107,green,1
108,saucepan,1
109,bread,0
110,sprinkle,1
111,recipe,1
112,season,1
113,rice,0
114,tomatoes,0
115,lightly,1
116,cake,0
117,c,1
118,slices,1
119,tender,0
120,the,1
121,potatoes,0
122,oz,1
123,finely,1
124,cooked,1
125,vinegar,0
126,whisk,1
127,pound,1
128,serving,1
129,onions,0
130,pieces,1
131,half,1
132,category,1
133,smooth,1
134,photosbadgeid,1
135,photosbadgerelateduri,1
136,photosbadgefilename,1
137,url,1
138,photosbadgealttext,1
139,vegetable,0
140,spoon,1
141,cooking,1
142,beat,1
143,golden,0
144,drain,1
145,dry,1
146,leaves,1
147,use,1
148,beef,0
149,sheet,1
150,hours,1
151,dried,0
152,minced,1
153,food,1
154,warm,1
155,salad,0
156,ounces,1
157,broth,0
158,ingredients,1
159,beans,0
160,peeled,1
161,pot,1
162,cloves,0
163,parsley,0
164,spread,1
165,cinnamon,0
166,wine,0
167,freshly,0
168,melted,1
169,tbsp,1
170,prepared,1
171,evenly,1
172,aside,1
173,soup,0
174,grated,1
175,meat,0
176,foil,1
177,time,1
178,temperature,1
179,pasta,0
180,extract,1
181,tomato,0
182,easy,0
183,heavy,1
184,none,1
185,orange,0
186,pork,0
187,sweet,0
188,seeds,1
189,blend,1
190,allpurpose,1
191,diced,1
192,toss,1
193,high,1
194,paper,1
195,ice,1
196,grill,0
197,sides,1
198,center,1
199,rack,1
200,ginger,0
201,filling,1
202,pie,0
203,refrigerate,1
204,mushrooms,0
205,bacon,0
206,for,1
207,vegetables,0
208,lime,0
209,mustard,0
210,cold,1
211,roll,1
212,softened,1
213,browned,1
214,coat,1
215,fat,1
216,room,1
217,if,1
218,â°f,1
219,preheated,1
220,turn,1
221,liquid,1
222,slightly,1
223,mediumhigh,1
224,to,1
225,corn,0
226,drained,1
227,batter,1
228,frozen,0
229,dressing,1
230,soy,0
231,hour,1
232,fish,0
233,gently,1
234,a,1
235,light,1
236,minute,1
237,celery,0
238,syrup,0
239,bell,0
240,basil,0
241,peppers,0
242,plate,1
243,parmesan,0
244,pastry,0
245,completely,1
246,great,1
247,pounds,1
248,stock,0
249,chill,1
250,free,1
251,let,1
252,ml,1
253,garnish,1
254,sour,0
255,ahead,1
256,thinly,1
257,soda,0
258,desired,1
259,flavor,1
260,thyme,0
261,layer,1
262,coconut,0
263,unsalted,1
264,soft,1
265,tsp,1
266,stand,1
267,dinner,0
268,carrots,0
269,turkey,0
270,crushed,1
271,honey,0
272,peel,1
273,pinch,1
274,delicious,0
275,fold,1
276,little,1
277,surface,1
278,cilantro,0
279,chips,0
280,melt,1
281,slice,1
282,optional,0
283,shrimp,0
284,boiling,1
285,covered,1
286,cuisine,1
287,peanut,0
288,roast,0
289,wrap,1
290,cooks,1
291,form,1
292,â½,1
293,spray,1
294,processor,1
295,cookies,0
296,paste,1
297,zest,0
298,crumbs,0
299,divided,1
300,plastic,1
301,when,1
302,brush,1
303,potato,0
304,day,1
305,plus,1
306,moist,1
307,cubes,1
308,drizzle,1
309,using,1
310,spinach,0
311,cookie,0
312,return,1
313,makes,1
314,aluminum,1
315,kosher,0
316,topping,1
317,cumin,0
318,apple,0
319,note,1
320,you,1
321,press,1
322,blender,1
323,creamy,0
324,continue,1
325,mayonnaise,0
326,strips,1
327,chilled,1
328,clean,1
329,sheets,1
330,seasoning,1
331,toasted,0
332,it,1
333,fruit,0
334,chili,0
335,mixer,1
336,ingredient,1
337,frying,1
338,packed,1
339,knife,1
340,crisp,0
341,grease,1
342,longer,1
343,divide,1
344,firm,1
345,cheddar,0
346,family,0
347,nuts,0
348,good,0
349,mixing,1
350,fry,1
351,whipped,1
352,allow,1
353,discard,1
354,coarsely,1
355,almonds,0
356,bag,1
357,turning,1
358,reserved,1
359,edges,1
360,marinade,0
361,inches,1
362,extra,1
363,combined,1
364,cleanup,1
365,comes,1
366,beaten,1
367,nutmeg,0
368,margarine,0
369,nonstick,1
370,mint,0
371,whites,0
372,blended,1
373,line,1
374,oregano,0
375,needed,0
376,glass,1
377,flakes,1
378,lamb,0
379,juices,0
380,bay,0
381,meal,1
382,apples,0
383,walnuts,0
384,quart,1
385,immediately,1
386,prepare,0
387,dessert,0
388,yogurt,0
389,ready,1
390,peas,0
391,pineapple,0
392,yolks,0
393,sesame,0
394,cayenne,0
395,halved,1
396,skin,1
397,breast,0
398,salmon,0
399,seconds,1
400,stick,1
401,noodles,0
402,fork,1
403,salted,1
404,steak,0
405,kitchen,1
406,clove,0
407,inserted,1
408,wedges,1
409,container,1
410,cornstarch,0
411,wire,1
412,confectioners,0
413,piece,1
414,ham,0
415,pecans,0
416,yellow,1
417,paprika,0
418,rosemary,0
419,work,1
420,sea,0
421,put,1
422,repeat,1
423,uncovered,1
424,zucchini,0
425,âx,1
426,refrigerator,1
427,gradually,1
428,roasted,1
429,olives,0
430,squash,0
431,boneless,1
432,electric,1
433,slow,1
434,lengthwise,1
435,sautã©,1
436,raisins,0
437,dip,1
438,pumpkin,0
439,pudding,0
440,halves,1
441,parchment,1
442,simple,1
443,salsa,0
444,best,1
445,floured,1
446,overnight,1
447,round,1
